product_name,product_version,oem_name,severity_level,vulnerability_description,mitigation_strategy,published_date,cve_id,url
GeoServer,Multiple,OSGeo,Critical,OSGeo GeoServer contains an improper restriction of XML external entity reference vulnerability that occurs when the application accepts XML input through a specific endpoint /geoserver/wms operation GetMap and could allow an attacker to define external entities within the XML request.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-11,CVE-2025-58360,https://nvd.nist.gov/vuln/detail/CVE-2025-58360
WinRAR,Multiple,RARLAB,Critical,RARLAB WinRAR contains a path traversal vulnerability allowing an attacker to execute code in the context of the current user.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-09,CVE-2025-6218,https://nvd.nist.gov/vuln/detail/CVE-2025-6218
Windows,Multiple,Microsoft,Critical,Microsoft Windows Cloud Files Mini Filter Driver contains a use after free vulnerability that can allow an authorized attacker to elevate privileges locally.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-09,CVE-2025-62221,https://nvd.nist.gov/vuln/detail/CVE-2025-62221
Routers,Multiple,D-Link,Critical,"D-Link Routers contains a buffer overflow vulnerability that has a high impact on confidentiality, integrity, and availability. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-08,CVE-2022-37055,https://nvd.nist.gov/vuln/detail/CVE-2022-37055
ArrayOS AG,Multiple,Array Networks ,Critical,Array Networks ArrayOS AG contains an OS command injection vulnerability that could allow an attacker to execute arbitrary commands.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-08,CVE-2025-66644,https://nvd.nist.gov/vuln/detail/CVE-2025-66644
React Server Components,Multiple,Meta,Critical,Meta React Server Components contains a remote code execution vulnerability that could allow unauthenticated remote code execution by exploiting a flaw in how React decodes payloads sent to React Server Function endpoints.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-05,CVE-2025-55182,https://nvd.nist.gov/vuln/detail/CVE-2025-55182
ScadaBR,Multiple,OpenPLC,Critical,OpenPLC ScadaBR contains an unrestricted upload of file with dangerous type vulnerability that allows remote authenticated users to upload and execute arbitrary JSP files via view_edit.shtm.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-03,CVE-2021-26828,https://nvd.nist.gov/vuln/detail/CVE-2021-26828
Framework,Multiple,Android,Critical,Android Framework contains an unspecified vulnerability that allows for information disclosure.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-02,CVE-2025-48633,https://nvd.nist.gov/vuln/detail/CVE-2025-48633
Framework,Multiple,Android,Critical,Android Framework contains an unspecified vulnerability that allows for privilege escalation.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-12-02,CVE-2025-48572,https://nvd.nist.gov/vuln/detail/CVE-2025-48572
ScadaBR,Multiple,OpenPLC,Critical,OpenPLC ScadaBR contains a cross-site scripting vulnerability via system_settings.shtm.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-28,CVE-2021-26829,https://nvd.nist.gov/vuln/detail/CVE-2021-26829
Fusion Middleware,Multiple,Oracle,Critical,"Oracle Fusion Middleware contains a missing authentication for critical function vulnerability, allowing unauthenticated remote attackers to take over Identity Manager.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-21,CVE-2025-61757,https://nvd.nist.gov/vuln/detail/CVE-2025-61757
Chromium V8,Multiple,Google,Critical,Google Chromium V8 contains a type confusion vulnerability that allows for heap corruption.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-19,CVE-2025-13223,https://nvd.nist.gov/vuln/detail/CVE-2025-13223
FortiWeb,Multiple,Fortinet,Critical,Fortinet FortiWeb contains an OS command Injection vulnerability that may allow an authenticated attacker to execute unauthorized code on the underlying system via crafted HTTP requests or CLI commands.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-18,CVE-2025-58034,https://nvd.nist.gov/vuln/detail/CVE-2025-58034
FortiWeb,Multiple,Fortinet,Critical,Fortinet FortiWeb contains a relative path traversal vulnerability that may allow an unauthenticated attacker to execute administrative commands on the system via crafted HTTP or HTTPS requests.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-14,CVE-2025-64446,https://nvd.nist.gov/vuln/detail/CVE-2025-64446
Triofox,Multiple,Gladinet,Critical,Gladinet Triofox contains an improper access control vulnerability that allows access to initial setup pages even after setup is complete.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-12,CVE-2025-12480,https://nvd.nist.gov/vuln/detail/CVE-2025-12480
Windows,Multiple,Microsoft,Critical,Microsoft Windows Kernel contains a race condition vulnerability that allows a local attacker with low-level privileges to escalate privileges. Successful exploitation of this vulnerability could enable the attacker to gain SYSTEM-level access.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-12,CVE-2025-62215,https://nvd.nist.gov/vuln/detail/CVE-2025-62215
Firebox,Multiple,WatchGuard,Critical,WatchGuard Firebox contains an out-of-bounds write vulnerability in the OS iked process that may allow a remote unauthenticated attacker to execute arbitrary code.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-12,CVE-2025-9242,https://nvd.nist.gov/vuln/detail/CVE-2025-9242
Mobile Devices,Multiple,Samsung,Critical,Samsung mobile devices contain an out-of-bounds write vulnerability in libimagecodec.quram.so. This vulnerability could allow remote attackers to execute arbitrary code.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-10,CVE-2025-21042,https://nvd.nist.gov/vuln/detail/CVE-2025-21042
Control Web Panel,Multiple,CWP,Critical,CWP Control Web Panel (formerly CentOS Web Panel) contains an OS command Injection vulnerability that allows unauthenticated remote code execution via shell metacharacters in the t_total parameter in a filemanager changePerm request. A valid non-root username must be known.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-04,CVE-2025-48703,https://nvd.nist.gov/vuln/detail/CVE-2025-48703
CentreStack and Triofox,Multiple,Gladinet,Critical,Gladinet CentreStack and Triofox contains a files or directories accessible to external parties vulnerability that allows unintended disclosure of system files.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-04,CVE-2025-11371,https://nvd.nist.gov/vuln/detail/CVE-2025-11371
VMware Aria Operations and VMware Tools,Multiple,Broadcom,Critical,Broadcom VMware Aria Operations and VMware Tools contain a privilege defined with unsafe actions vulnerability. A malicious local actor with non-administrative privileges having access to a VM with VMware Tools installed and managed by Aria Operations with SDMP enabled may exploit this vulnerability to escalate privileges to root on the same VM.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-30,CVE-2025-41244,https://nvd.nist.gov/vuln/detail/CVE-2025-41244
Platform,Multiple,XWiki,Critical,XWiki Platform contains an eval injection vulnerability that could allow any guest to perform arbitrary remote code execution through a request to SolrSearch.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-30,CVE-2025-24893,https://nvd.nist.gov/vuln/detail/CVE-2025-24893
DELMIA Apriso,Multiple,Dassault Systèmes,Critical,Dassault Systèmes DELMIA Apriso contains a code injection vulnerability that could allow an attacker to execute arbitrary code.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-28,CVE-2025-6204,https://nvd.nist.gov/vuln/detail/CVE-2025-6204
DELMIA Apriso,Multiple,Dassault Systèmes,Critical,Dassault Systèmes DELMIA Apriso contains a missing authorization vulnerability that could allow an attacker to gain privileged access to the application.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-28,CVE-2025-6205,https://nvd.nist.gov/vuln/detail/CVE-2025-6205
Commerce and Magento,Multiple,Adobe,Critical,Adobe Commerce and Magento Open Source contain an improper input validation vulnerability that could allow an attacker to take over customer accounts through the Commerce REST API.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-24,CVE-2025-54236,https://nvd.nist.gov/vuln/detail/CVE-2025-54236
Windows,Multiple,Microsoft,Critical,Microsoft Windows Server Update Service (WSUS) contains a deserialization of untrusted data vulnerability that allows for remote code execution.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-24,CVE-2025-59287,https://nvd.nist.gov/vuln/detail/CVE-2025-59287
LANSCOPE Endpoint Manager,Multiple,Motex,Critical,Motex LANSCOPE Endpoint Manager contains an improper verification of source of a communication channel vulnerability allowing an attacker to execute arbitrary code by sending specially crafted packets.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-22,CVE-2025-61932,https://nvd.nist.gov/vuln/detail/CVE-2025-61932
Multiple Products,Multiple,Apple,Critical,"Apple macOS, iOS, tvOS, Safari, and watchOS contain an unspecified vulnerability in JavaScriptCore that when processing web content may lead to arbitrary code execution. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-20,CVE-2022-48503,https://nvd.nist.gov/vuln/detail/CVE-2022-48503
Xperience CMS,Multiple,Kentico,Critical,Kentico Xperience CMS contains an authentication bypass using an alternate path or channel vulnerability that could allow an attacker to control administrative objects.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-20,CVE-2025-2746,https://nvd.nist.gov/vuln/detail/CVE-2025-2746
Xperience CMS,Multiple,Kentico,Critical,Kentico Xperience CMS contains an authentication bypass using an alternate path or channel vulnerability that could allow an attacker to control administrative objects.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-20,CVE-2025-2747,https://nvd.nist.gov/vuln/detail/CVE-2025-2747
Windows,Multiple,Microsoft,Critical,Microsoft Windows SMB Client contains an improper access control vulnerability that could allow for privilege escalation. An attacker could execute a specially crafted malicious script to coerce the victim machine to connect back to the attack system using SMB and authenticate.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-20,CVE-2025-33073,https://nvd.nist.gov/vuln/detail/CVE-2025-33073
E-Business Suite,Multiple,Oracle,Critical,Oracle E-Business Suite contains a server-side request forgery (SSRF) vulnerability in the Runtime component of Oracle Configurator. This vulnerability is remotely exploitable without authentication.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-20,CVE-2025-61884,https://nvd.nist.gov/vuln/detail/CVE-2025-61884
Experience Manager (AEM) Forms,Multiple,Adobe,Critical,Adobe Experience Manager Forms in JEE contains an unspecified vulnerability that allows for arbitrary code execution.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-15,CVE-2025-54253,https://nvd.nist.gov/vuln/detail/CVE-2025-54253
IGEL OS,Multiple,IGEL,Critical,"IGEL OS contains a use of a key past its expiration date vulnerability that allows for Secure Boot bypass. The igel-flash-driver module improperly verifies a cryptographic signature. Ultimately, a crafted root filesystem can be mounted from an unverified SquashFS image.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-14,CVE-2025-47827,https://nvd.nist.gov/vuln/detail/CVE-2025-47827
Windows,Multiple,Microsoft,Critical,Microsoft Windows Agere Modem Driver contains an untrusted pointer dereference vulnerability that allows for privilege escalation. An attacker who successfully exploited this vulnerability could gain administrator privileges.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-14,CVE-2025-24990,https://nvd.nist.gov/vuln/detail/CVE-2025-24990
Windows,Multiple,Microsoft,Critical,Microsoft Windows contains an improper access control vulnerability in Windows Remote Access Connection Manager which could allow an authorized attacker to elevate privileges locally.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-14,CVE-2025-59230,https://nvd.nist.gov/vuln/detail/CVE-2025-59230
Client View,Multiple,SKYSEA,Critical,SKYSEA Client View contains an improper authentication vulnerability that allows remote code execution via a flaw in processing authentication on the TCP connection with the management console program.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-14,CVE-2016-7836,https://nvd.nist.gov/vuln/detail/CVE-2016-7836
Grafana,Multiple,Grafana Labs,Critical,Grafana contains a path traversal vulnerability that could allow access to local files.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-09,CVE-2021-43798,https://nvd.nist.gov/vuln/detail/CVE-2021-43798
